GeneName,padj,pvalue,lfcSE,stat,log2FoldChange,baseMean
ELF3,0.0,0.0,0.0484050675143568,-39.071769215362,-1.89127162677497,4685.37055162332
LBH,0.0,0.0,0.0444484964538523,41.7841572222786,1.85724296412166,7779.32284374756
MARCHF4,0.0,0.0,0.0690787254048559,46.6560216462879,3.22293850778694,2192.81730716924
TNS1,0.0,0.0,0.0692331339989829,46.6881236952207,3.2323651239523,2183.25379127558
F2RL1,0.0,0.0,0.04238652265654,46.1381319799209,1.95563497649735,11797.2676904177
TGFBI,0.0,0.0,0.0361861976973771,44.1981622022816,1.5993634353125,51441.3262003822
PCDH1,0.0,0.0,0.0904319988106985,38.220268487528,3.45633527440871,1079.63687679191
ADAM19,0.0,0.0,0.0750076595904332,46.6747739055336,3.5009655525667,3039.68324860836
SERPINE1,0.0,0.0,0.0375910681820259,78.0893734310429,2.93546296093802,47037.3816170415
TGFBR1,0.0,0.0,0.0549323135006353,38.0188412548943,2.08846290674474,6062.11573516946
MUC5AC,0.0,0.0,0.0515766306357595,-47.4999516463018,-2.44988746127775,13244.50706778
EHF,0.0,0.0,0.0648702156531594,-43.7013667090897,-2.83491708275645,2016.42703558912
PHLDB1,0.0,0.0,0.0569376659894348,38.8342625365737,2.21113226925345,2278.59011946561
NTS,0.0,0.0,0.0562282354476903,-43.5140131233912,-2.44671617517592,5103.4451152474
ULK1,0.0,0.0,0.0494030348500674,41.3181874546334,2.04124385476288,9390.12565488297
COL4A1,0.0,0.0,0.0527889882555415,40.0719479173712,2.11535758798678,4069.20133194506
FRMD6,0.0,0.0,0.0597449355542699,48.9515863672487,2.92460937279055,2749.58179691681
PLEK2,0.0,0.0,0.0676300499416797,37.9820527370963,2.56872812349733,1711.83812971989
GREM1,0.0,0.0,0.0755035342484938,38.1210134958185,2.87827124806883,1435.73850967734
LINC02086,0.0,0.0,0.0728904402766248,45.0568569797068,3.28421414273175,1583.72810166983
